time,sensor,x,y,z,sensor,x,y,z,sensor,x,y,z,activity
302241.36090, 3,  -0.067,  0.387,  9.729, 4,  -0.009, -0.005, -0.022, 5,  24.780,  4.800, 10.080, 5 
 302241.42052, 3,  -0.057,  0.349,  9.686, 4,  -0.007, -0.005, -0.022, 5,  24.780,  4.860, 10.080, 5 
 302241.48035, 3,  -0.129,  0.339,  9.926, 4,  -0.006, -0.005, -0.022, 5,  24.780,  4.860, 10.080, 5 
 302241.54026, 3,  -0.101,  0.392,  9.715, 4,  -0.007, -0.006, -0.022, 5,  24.780,  4.920, 10.080, 5 
 302241.60037, 3,  -0.067,  0.339,  9.686, 4,  -0.007, -0.004, -0.021, 5,  24.780,  4.920, 10.080, 5 
 302241.65994, 3,  -0.086,  0.430,  9.816, 4,  -0.008, -0.005, -0.022, 5,  24.780,  4.920, 10.080, 5 
 302241.72031, 3,  -0.077,  0.363,  9.662, 4,  -0.007, -0.002, -0.020, 5,  24.780,  4.920, 10.080, 5 
 302241.77970, 3,  -0.096,  0.445,  9.820, 4,  -0.007, -0.003, -0.021, 5,  24.780,  4.920, 10.020, 5 
 302241.83983, 3,  -0.077,  0.382,  9.615, 4,  -0.008, -0.002, -0.021, 5,  24.780,  4.920, 10.020, 5 
 302241.89948, 3,  -0.134,  0.397,  9.777, 4,  -0.005, -0.005, -0.020, 5,  24.780,  4.920, 10.020, 5 
 302241.95924, 3,  -0.057,  0.387,  9.844, 4,  -0.006, -0.003, -0.021, 5,  24.780,  4.920, 10.020, 5 
 302242.01917, 3,  -0.148,  0.416,  9.868, 4,  -0.009, -0.005, -0.021, 5,  24.780,  4.920, 10.020, 5 
 302242.07881, 3,  -0.014,  0.335,  9.667, 4,  -0.008, -0.005, -0.021, 5,  24.780,  4.980, 10.020, 5 
 302242.13887, 3,  -0.029,  0.239,  9.753, 4,  -0.008, -0.007, -0.022, 5,  24.780,  4.980, 10.020, 5 
 302242.19870, 3,  -0.105,  0.392,  9.734, 4,  -0.007, -0.006, -0.021, 5,  24.780,  4.920, 10.080, 5 
 302242.25879, 3,  -0.105,  0.406,  9.806, 4,  -0.006, -0.004, -0.021, 5,  24.780,  4.920, 10.080, 5 
 302242.31851, 3,  -0.057,  0.421,  9.749, 4,  -0.008, -0.005, -0.020, 5,  24.780,  4.920, 10.080, 5 
 302242.37821, 3,  -0.081,  0.363,  9.519, 4,  -0.007, -0.006, -0.022, 5,  24.780,  4.920, 10.140, 5 
 302242.43792, 3,  -0.163,  0.497,  9.768, 4,  -0.008, -0.003, -0.020, 5,  24.780,  4.920, 10.140, 5 
 302242.49797, 3,  -0.043,  0.440,  9.696, 4,  -0.007, -0.003, -0.022, 5,  24.780,  4.920, 10.140, 5 
 302242.55808, 3,  -0.043,  0.373,  9.844, 4,  -0.006, -0.004, -0.021, 5,  24.840,  4.920, 10.200, 5 
 302242.61767, 3,  -0.124,  0.311,  9.825, 4,  -0.010, -0.006, -0.021, 5,  24.840,  4.920, 10.200, 5 
 302242.67782, 3,  -0.029,  0.402,  9.787, 4,  -0.007, -0.005, -0.022, 5,  24.840,  4.920, 10.200, 5 
 302242.73771, 3,  -0.120,  0.426,  9.749, 4,  -0.009, -0.006, -0.021, 5,  24.840,  4.920, 10.260, 5 
 302242.79706, 3,  -0.091,  0.454,  9.878, 4,  -0.009, -0.006, -0.021, 5,  24.840,  4.920, 10.260, 5 
 302242.85718, 3,  -0.134,  0.382,  9.696, 4,  -0.007, -0.004, -0.021, 5,  24.840,  4.920, 10.320, 5 
 302242.91705, 3,  -0.153,  0.397,  9.854, 4,  -0.007, -0.008, -0.021, 5,  24.840,  4.860, 10.320, 5 
 302242.97684, 3,  -0.072,  0.411,  9.672, 4,  -0.007, -0.004, -0.021, 5,  24.780,  4.860, 10.320, 5 
 302243.03685, 3,  -0.086,  0.359,  9.796, 4,  -0.007, -0.006, -0.022, 5,  24.780,  4.860, 10.320, 5 
 302243.09656, 3,  -0.086,  0.421,  9.619, 4,  -0.008, -0.003, -0.021, 5,  24.780,  4.860, 10.320, 5 
