time,sensor,x,y,z,sensor,x,y,z,sensor,x,y,z,activity
302191.43978, 3,  -0.077,  0.339,  9.753, 4,  -0.008, -0.006, -0.022, 5,  24.840,  4.620, 10.500, 3 
 302191.49941, 3,  -0.105,  0.368,  9.634, 4,  -0.007, -0.004, -0.021, 5,  24.840,  4.620, 10.500, 3 
 302191.55956, 3,  -0.057,  0.426,  9.600, 4,  -0.007, -0.004, -0.022, 5,  24.780,  4.620, 10.500, 3 
 302191.61923, 3,  -0.120,  0.382,  9.763, 4,  -0.007, -0.005, -0.021, 5,  24.780,  4.620, 10.500, 3 
 302191.67899, 3,  -0.144,  0.411,  9.634, 4,  -0.006, -0.003, -0.021, 5,  24.720,  4.620, 10.500, 3 
 302191.73920, 3,  -0.110,  0.368,  9.854, 4,  -0.008, -0.005, -0.021, 5,  24.660,  4.620, 10.500, 3 
 302191.79899, 3,  -0.077,  0.349,  9.777, 4,  -0.006, -0.005, -0.021, 5,  24.600,  4.620, 10.440, 3 
 302191.85862, 3,  -0.134,  0.315,  9.686, 4,  -0.006, -0.005, -0.021, 5,  24.600,  4.560, 10.440, 3 
 302191.91850, 3,  -0.201,  0.363,  9.825, 4,  -0.006, -0.005, -0.022, 5,  24.540,  4.560, 10.500, 3 
 302191.97853, 3,  -0.115,  0.335,  9.768, 4,  -0.007, -0.006, -0.020, 5,  24.480,  4.560, 10.500, 3 
 302192.03818, 3,  -0.105,  0.339,  9.758, 4,  -0.007, -0.004, -0.022, 5,  24.480,  4.500, 10.500, 3 
 302192.09836, 3,  -0.129,  0.320,  9.763, 4,  -0.007, -0.006, -0.021, 5,  24.420,  4.500, 10.500, 3 
 302192.15786, 3,  -0.177,  0.397,  9.792, 4,  -0.008, -0.004, -0.022, 5,  24.360,  4.440, 10.500, 3 
 302192.21791, 3,  -0.110,  0.392,  9.696, 4,  -0.008, -0.005, -0.021, 5,  24.360,  4.440, 10.500, 3 
 302192.27756, 3,  -0.096,  0.368,  9.658, 4,  -0.006, -0.003, -0.022, 5,  24.300,  4.380, 10.500, 3 
 302192.33773, 3,  -0.105,  0.406,  9.758, 4,  -0.007, -0.003, -0.021, 5,  24.300,  4.380, 10.500, 3 
 302192.39736, 3,  -0.153,  0.411,  9.638, 4,  -0.007, -0.004, -0.021, 5,  24.240,  4.380, 10.560, 3 
 302192.45736, 3,  -0.115,  0.435,  9.634, 4,  -0.007, -0.006, -0.022, 5,  24.240,  4.320, 10.560, 3 
 302192.51707, 3,  -0.144,  0.435,  9.686, 4,  -0.007, -0.006, -0.021, 5,  24.240,  4.320, 10.560, 3 
 302192.57711, 3,  -0.057,  0.402,  9.634, 4,  -0.006, -0.006, -0.022, 5,  24.240,  4.320, 10.560, 3 
 302192.63669, 3,  -0.144,  0.330,  9.792, 4,  -0.007, -0.003, -0.021, 5,  24.240,  4.320, 10.560, 3 
 302192.69635, 3,  -0.177,  0.416,  9.720, 4,  -0.008, -0.005, -0.021, 5,  24.300,  4.320, 10.560, 3 
 302192.75655, 3,  -0.072,  0.406,  9.864, 4,  -0.006, -0.006, -0.022, 5,  24.300,  4.320, 10.560, 3 
 302192.81623, 3,  -0.038,  0.349,  9.849, 4,  -0.006, -0.005, -0.020, 5,  24.360,  4.380, 10.560, 3 
 302192.87622, 3,  -0.067,  0.397,  9.753, 4,  -0.007, -0.004, -0.022, 5,  24.420,  4.380, 10.500, 3 
 302192.93613, 3,  -0.101,  0.397,  9.873, 4,  -0.006, -0.006, -0.020, 5,  24.420,  4.380, 10.500, 3 
 302192.99586, 3,  -0.086,  0.349,  9.725, 4,  -0.006, -0.006, -0.019, 5,  24.480,  4.440, 10.500, 3 
 302193.05602, 3,  -0.077,  0.373,  9.782, 4,  -0.006, -0.004, -0.021, 5,  24.480,  4.440, 10.500, 3 
 302193.11581, 3,  -0.086,  0.430,  9.806, 4,  -0.005, -0.003, -0.021, 5,  24.540,  4.500, 10.500, 3 
 302193.17580, 3,  -0.067,  0.387,  9.777, 4,  -0.007, -0.005, -0.020, 5,  24.540,  4.500, 10.440, 3 
 302193.23517, 3,  -0.057,  0.411,  9.749, 4,  -0.007, -0.003, -0.021, 5,  24.600,  4.560, 10.500, 3 
 302193.29539, 3,  -0.057,  0.392,  9.672, 4,  -0.008, -0.004, -0.022, 5,  24.600,  4.560, 10.500, 3 
 302193.35546, 3,  -0.139,  0.296,  9.868, 4,  -0.008, -0.006, -0.022, 5,  24.660,  4.620, 10.500, 3 
 302193.41546, 3,  -0.038,  0.373,  9.820, 4,  -0.007, -0.003, -0.021, 5,  24.660,  4.620, 10.500, 3 
 302193.47467, 3,  -0.072,  0.311,  9.667, 4,  -0.007, -0.005, -0.019, 5,  24.660,  4.620, 10.500, 3 
