time,sensor,x,y,z,sensor,x,y,z,sensor,x,y,z,activity
302216.40032, 3,  -0.163,  0.368,  9.638, 4,  -0.008, -0.005, -0.021, 5,  24.600,  4.800, 10.260, 4 
 302216.45992, 3,  -0.067,  0.368,  9.725, 4,  -0.008, -0.006, -0.021, 5,  24.600,  4.800, 10.260, 4 
 302216.52008, 3,  -0.062,  0.301,  9.883, 4,  -0.007, -0.002, -0.023, 5,  24.600,  4.800, 10.260, 4 
 302216.58006, 3,  -0.163,  0.387,  9.734, 4,  -0.008, -0.004, -0.020, 5,  24.600,  4.860, 10.200, 4 
 302216.63999, 3,  -0.120,  0.397,  9.691, 4,  -0.006, -0.006, -0.022, 5,  24.600,  4.860, 10.260, 4 
 302216.69967, 3,  -0.086,  0.406,  9.725, 4,  -0.006, -0.004, -0.021, 5,  24.600,  4.860, 10.260, 4 
 302216.75960, 3,  -0.067,  0.373,  9.777, 4,  -0.007, -0.006, -0.021, 5,  24.600,  4.920, 10.260, 4 
 302216.81914, 3,  -0.057,  0.406,  9.677, 4,  -0.006, -0.005, -0.022, 5,  24.600,  4.920, 10.260, 4 
 302216.87914, 3,   0.005,  0.354,  9.696, 4,  -0.008, -0.003, -0.022, 5,  24.600,  4.920, 10.320, 4 
 302216.93886, 3,  -0.120,  0.445,  9.835, 4,  -0.006, -0.004, -0.021, 5,  24.600,  4.920, 10.320, 4 
 302216.99895, 3,  -0.091,  0.392,  9.686, 4,  -0.006, -0.007, -0.023, 5,  24.600,  4.920, 10.380, 4 
 302217.05855, 3,  -0.144,  0.411,  9.787, 4,  -0.007, -0.005, -0.023, 5,  24.600,  4.860, 10.440, 4 
 302217.11866, 3,  -0.067,  0.349,  9.658, 4,  -0.007, -0.005, -0.022, 5,  24.600,  4.860, 10.500, 4 
 302217.17830, 3,  -0.129,  0.368,  9.638, 4,  -0.006, -0.005, -0.021, 5,  24.600,  4.800, 10.500, 4 
 302217.23813, 3,  -0.134,  0.435,  9.739, 4,  -0.007, -0.006, -0.022, 5,  24.600,  4.800, 10.560, 4 
 302217.29794, 3,  -0.105,  0.368,  9.705, 4,  -0.008, -0.004, -0.022, 5,  24.600,  4.800, 10.620, 4 
 302217.35816, 3,  -0.067,  0.406,  9.749, 4,  -0.009, -0.002, -0.021, 5,  24.600,  4.800, 10.620, 4 
 302217.41790, 3,  -0.110,  0.363,  9.729, 4,  -0.007, -0.003, -0.021, 5,  24.600,  4.740, 10.620, 4 
 302217.47768, 3,  -0.024,  0.426,  9.835, 4,  -0.006, -0.005, -0.022, 5,  24.600,  4.740, 10.620, 4 
 302217.53744, 3,  -0.105,  0.363,  9.753, 4,  -0.009, -0.004, -0.022, 5,  24.600,  4.740, 10.680, 4 
 302217.59728, 3,  -0.072,  0.416,  9.686, 4,  -0.009, -0.003, -0.023, 5,  24.600,  4.740, 10.620, 4 
 302217.65749, 3,  -0.163,  0.363,  9.715, 4,  -0.007, -0.003, -0.021, 5,  24.600,  4.680, 10.680, 4 
 302217.71702, 3,  -0.124,  0.344,  9.825, 4,  -0.007, -0.005, -0.021, 5,  24.600,  4.680, 10.620, 4 
 302217.77723, 3,  -0.057,  0.359,  9.878, 4,  -0.007, -0.004, -0.022, 5,  24.600,  4.620, 10.620, 4 
 302217.83668, 3,  -0.091,  0.387,  9.662, 4,  -0.008, -0.005, -0.022, 5,  24.600,  4.620, 10.620, 4 
 302217.89671, 3,  -0.144,  0.325,  9.782, 4,  -0.007, -0.005, -0.021, 5,  24.600,  4.620, 10.620, 4 
 302217.95641, 3,  -0.124,  0.392,  9.864, 4,  -0.006, -0.003, -0.020, 5,  24.600,  4.620, 10.560, 4 
 302218.01624, 3,   0.000,  0.478,  9.825, 4,  -0.007, -0.004, -0.022, 5,  24.540,  4.620, 10.560, 4 
 302218.07626, 3,  -0.120,  0.382,  9.729, 4,  -0.007, -0.005, -0.021, 5,  24.540,  4.620, 10.560, 4 
 302218.13603, 3,  -0.019,  0.459,  9.777, 4,  -0.006, -0.006, -0.023, 5,  24.540,  4.680, 10.560, 4 
 302218.19588, 3,  -0.081,  0.363,  9.763, 4,  -0.007, -0.005, -0.021, 5,  24.540,  4.680, 10.500, 4 
 302218.25608, 3,  -0.096,  0.354,  9.792, 4,  -0.005, -0.005, -0.021, 5,  24.540,  4.680, 10.500, 4 
 302218.31562, 3,  -0.072,  0.344,  9.619, 4,  -0.007, -0.005, -0.022, 5,  24.540,  4.680, 10.500, 4 
 302218.37622, 3,  -0.029,  0.421,  9.634, 4,  -0.010, -0.006, -0.022, 5,  24.540,  4.740, 10.500, 4 
 302218.43542, 3,  -0.144,  0.363,  9.792, 4,  -0.006, -0.002, -0.021, 5,  24.540,  4.740, 10.500, 4 
 302218.49567, 3,  -0.072,  0.387,  9.701, 4,  -0.008, -0.004, -0.020, 5,  24.600,  4.740, 10.500, 4 
 302218.55561, 3,  -0.144,  0.382,  9.844, 4,  -0.006, -0.004, -0.022, 5,  24.660,  4.740, 10.560, 4 
 302218.61532, 3,  -0.038,  0.402,  9.878, 4,  -0.006, -0.004, -0.020, 5,  24.720,  4.800, 10.560, 4 
 302218.67537, 3,  -0.062,  0.382,  9.753, 4,  -0.008, -0.006, -0.021, 5,  24.720,  4.800, 10.500, 4 
 302218.73483, 3,  -0.014,  0.435,  9.796, 4,  -0.009, -0.005, -0.021, 5,  24.840,  4.860, 10.500, 4 
 302218.79473, 3,  -0.077,  0.335,  9.796, 4,  -0.008, -0.004, -0.021, 5,  24.900,  4.860, 10.500, 4 
 302218.85480, 3,  -0.038,  0.397,  9.672, 4,  -0.008, -0.004, -0.021, 5,  24.960,  4.920, 10.440, 4 
 302218.91462, 3,  -0.091,  0.368,  9.796, 4,  -0.007, -0.004, -0.023, 5,  25.020,  4.920, 10.440, 4 
 302218.97453, 3,  -0.124,  0.382,  9.701, 4,  -0.006, -0.005, -0.022, 5,  25.080,  4.920, 10.440, 4 
 302219.03433, 3,  -0.010,  0.368,  9.729, 4,  -0.007, -0.003, -0.022, 5,  25.140,  4.920, 10.380, 4 
 302219.09428, 3,  -0.120,  0.382,  9.868, 4,  -0.009, -0.003, -0.022, 5,  25.200,  4.860, 10.380, 4 
 302219.15379, 3,  -0.096,  0.325,  9.792, 4,  -0.007, -0.004, -0.022, 5,  25.260,  4.860, 10.320, 4 
 302219.21396, 3,  -0.029,  0.488,  9.638, 4,  -0.007, -0.006, -0.022, 5,  25.260,  4.860, 10.320, 4 
 302219.27381, 3,  -0.077,  0.363,  9.667, 4,  -0.006, -0.006, -0.022, 5,  25.320,  4.860, 10.320, 4 
 302219.33358, 3,  -0.163,  0.330,  9.835, 4,  -0.007, -0.004, -0.020, 5,  25.380,  4.800, 10.260, 4 
 302219.39351, 3,  -0.129,  0.354,  9.825, 4,  -0.007, -0.004, -0.022, 5,  25.440,  4.800, 10.260, 4 
 302219.45308, 3,  -0.139,  0.406,  9.840, 4,  -0.007, -0.006, -0.021, 5,  25.440,  4.800, 10.200, 4 
 302219.51327, 3,  -0.124,  0.349,  9.734, 4,  -0.007, -0.003, -0.023, 5,  25.440,  4.800, 10.200, 4 
 302219.57286, 3,  -0.091,  0.445,  9.672, 4,  -0.007, -0.004, -0.022, 5,  25.440,  4.740, 10.200, 4 
 302219.63283, 3,  -0.091,  0.344,  9.715, 4,  -0.005, -0.005, -0.022, 5,  25.440,  4.740, 10.200, 4 
 302219.69285, 3,  -0.034,  0.373,  9.595, 4,  -0.006, -0.004, -0.020, 5,  25.440,  4.680, 10.200, 4 
 302219.75247, 3,  -0.077,  0.359,  9.792, 4,  -0.008, -0.004, -0.022, 5,  25.440,  4.680, 10.200, 4 
 302219.81252, 3,  -0.129,  0.373,  9.749, 4,  -0.007, -0.004, -0.022, 5,  25.380,  4.680, 10.200, 4 
 302219.87210, 3,  -0.105,  0.325,  9.787, 4,  -0.008, -0.006, -0.022, 5,  25.380,  4.620, 10.200, 4 
 302219.93166, 3,  -0.077,  0.387,  9.691, 4,  -0.009, -0.006, -0.022, 5,  25.320,  4.620, 10.200, 4 
 302219.99165, 3,  -0.091,  0.421,  9.605, 4,  -0.005, -0.004, -0.022, 5,  25.320,  4.560, 10.200, 4 
 302220.05145, 3,  -0.043,  0.363,  9.749, 4,  -0.009, -0.003, -0.020, 5,  25.260,  4.560, 10.200, 4 
 302220.11187, 3,  -0.129,  0.368,  9.844, 4,  -0.006, -0.005, -0.022, 5,  25.200,  4.560, 10.200, 4 
 302220.17106, 3,  -0.091,  0.354,  9.729, 4,  -0.007, -0.004, -0.022, 5,  25.200,  4.500, 10.200, 4 
 302220.23103, 3,  -0.086,  0.382,  9.777, 4,  -0.007, -0.004, -0.022, 5,  25.140,  4.500, 10.200, 4 
 302220.29143, 3,  -0.134,  0.473,  9.868, 4,  -0.007, -0.003, -0.022, 5,  25.080,  4.440, 10.200, 4 
 302220.35120, 3,  -0.057,  0.387,  9.916, 4,  -0.007, -0.004, -0.022, 5,  25.020,  4.380, 10.200, 4 
 302220.41111, 3,  -0.048,  0.411,  9.725, 4,  -0.007, -0.005, -0.022, 5,  25.020,  4.380, 10.200, 4 
 302220.47058, 3,  -0.081,  0.430,  9.749, 4,  -0.008, -0.003, -0.020, 5,  24.960,  4.380, 10.200, 4 
 302220.53030, 3,  -0.110,  0.387,  9.729, 4,  -0.006, -0.006, -0.021, 5,  24.900,  4.320, 10.200, 4 
 302220.59044, 3,  -0.120,  0.382,  9.787, 4,  -0.006, -0.005, -0.019, 5,  24.900,  4.320, 10.200, 4 
 302220.65011, 3,  -0.067,  0.411,  9.873, 4,  -0.008, -0.005, -0.022, 5,  24.840,  4.260, 10.200, 4 
 302220.70985, 3,  -0.072,  0.382,  9.739, 4,  -0.007, -0.005, -0.022, 5,  24.780,  4.260, 10.200, 4 
 302220.76993, 3,  -0.091,  0.349,  9.825, 4,  -0.007, -0.003, -0.020, 5,  24.780,  4.260, 10.200, 4 
 302220.82997, 3,  -0.201,  0.368,  9.691, 4,  -0.007, -0.006, -0.020, 5,  24.780,  4.260, 10.140, 4 
 302220.89000, 3,  -0.019,  0.363,  9.696, 4,  -0.007, -0.003, -0.022, 5,  24.780,  4.260, 10.200, 4 
 302220.94951, 3,  -0.129,  0.320,  9.729, 4,  -0.007, -0.004, -0.021, 5,  24.780,  4.260, 10.200, 4 
 302221.00964, 3,  -0.053,  0.426,  9.811, 4,  -0.008, -0.004, -0.022, 5,  24.720,  4.260, 10.200, 4 
 302221.06926, 3,  -0.062,  0.382,  9.749, 4,  -0.006, -0.004, -0.022, 5,  24.780,  4.320, 10.200, 4 
 302221.12936, 3,  -0.110,  0.435,  9.806, 4,  -0.007, -0.005, -0.021, 5,  24.780,  4.320, 10.200, 4 
 302231.30515, 3,  -0.101,  0.301,  9.777, 4,  -0.007, -0.004, -0.021, 5,  24.540,  4.560, 10.440, 4 
 302231.36500, 3,  -0.096,  0.268,  9.768, 4,  -0.008, -0.004, -0.022, 5,  24.540,  4.620, 10.440, 4 
 302231.42482, 3,  -0.105,  0.282,  9.749, 4,  -0.007, -0.004, -0.022, 5,  24.540,  4.680, 10.440, 4 
 302231.48447, 3,  -0.086,  0.416,  9.686, 4,  -0.006, -0.003, -0.022, 5,  24.540,  4.800, 10.440, 4 
 302231.54431, 3,  -0.120,  0.392,  9.662, 4,  -0.008, -0.004, -0.020, 5,  24.540,  4.860, 10.500, 4 
 302231.60446, 3,  -0.182,  0.368,  9.691, 4,  -0.007, -0.003, -0.021, 5,  24.600,  4.920, 10.500, 4 
 302231.66411, 3,  -0.177,  0.282,  9.902, 4,  -0.005, -0.004, -0.021, 5,  24.600,  4.980, 10.500, 4 
 302231.72407, 3,  -0.038,  0.416,  9.787, 4,  -0.008, -0.003, -0.021, 5,  24.600,  5.040, 10.500, 4 
 302231.78391, 3,  -0.038,  0.421,  9.768, 4,  -0.006, -0.003, -0.019, 5,  24.600,  5.100, 10.500, 4 
 302231.84357, 3,  -0.014,  0.339,  9.763, 4,  -0.005, -0.005, -0.022, 5,  24.660,  5.220, 10.500, 4 
 302231.90369, 3,  -0.148,  0.382,  9.729, 4,  -0.008, -0.004, -0.021, 5,  24.660,  5.280, 10.500, 4 
 302231.96361, 3,  -0.086,  0.373,  9.686, 4,  -0.007, -0.005, -0.021, 5,  24.660,  5.340, 10.500, 4 
 302232.02292, 3,  -0.062,  0.344,  9.696, 4,  -0.006, -0.004, -0.021, 5,  24.660,  5.400, 10.560, 4 
 302232.08275, 3,  -0.124,  0.291,  9.849, 4,  -0.008, -0.003, -0.021, 5,  24.660,  5.460, 10.560, 4 
 302232.14286, 3,  -0.062,  0.440,  9.820, 4,  -0.008, -0.005, -0.021, 5,  24.660,  5.520, 10.560, 4 
 302232.20299, 3,  -0.101,  0.445,  9.720, 4,  -0.007, -0.003, -0.021, 5,  24.660,  5.520, 10.560, 4 
 302232.26269, 3,  -0.067,  0.368,  9.768, 4,  -0.006, -0.005, -0.021, 5,  24.600,  5.520, 10.560, 4 
 302232.32263, 3,  -0.096,  0.411,  9.705, 4,  -0.006, -0.005, -0.021, 5,  24.600,  5.460, 10.560, 4 
 302232.38206, 3,  -0.153,  0.435,  9.686, 4,  -0.010, -0.005, -0.021, 5,  24.600,  5.460, 10.620, 4 
 302232.44196, 3,  -0.072,  0.354,  9.916, 4,  -0.007, -0.005, -0.022, 5,  24.540,  5.400, 10.620, 4 
 302232.50233, 3,  -0.134,  0.363,  9.796, 4,  -0.007, -0.003, -0.020, 5,  24.540,  5.400, 10.620, 4 
 302232.56205, 3,  -0.077,  0.354,  9.734, 4,  -0.008, -0.005, -0.022, 5,  24.540,  5.340, 10.620, 4 
 302232.62197, 3,  -0.110,  0.359,  9.691, 4,  -0.007, -0.004, -0.022, 5,  24.480,  5.280, 10.680, 4 
