time,sensor,x,y,z,sensor,x,y,z,sensor,x,y,z,activity
302438.65321, 3,  -0.139,  0.387,  9.729, 4,  -0.025, -0.001, -0.012, 5,  24.960,  4.380,  9.840, 1 
 302452.05850, 3,  -0.115, -0.503, 11.128, 1 
 302452.11832, 3,  -0.086, -1.356, 14.915, 4,  -0.025, -0.001, -0.012, 5,  24.780,  5.700, 10.140, 1 
 302452.17818, 3,  -0.311, -0.436,  9.825, 4,  -0.025, -0.001, -0.012, 5,  24.780,  5.640, 10.140, 1 
 302452.23809, 3,  -0.345,  0.991,  8.930, 4,  -0.025, -0.001, -0.012, 5,  24.780,  5.580, 10.140, 1 
 302452.29820, 3,   0.091,  2.336,  7.848, 4,  -0.025, -0.001, -0.012, 5,  24.720,  5.460, 10.200, 1 
 302452.35793, 3,  -2.035,  4.553,  7.287, 4,  -0.025, -0.001, -0.012, 5,  24.600,  5.400, 10.200, 1 
 302452.41769, 3,  -2.571,  3.706,  6.057, 4,   1.668,  1.202,  0.220, 5,  24.480,  5.340, 10.200, 1 
 302452.47774, 3,  -2.739,  7.244,  4.204, 4,   1.665,  0.917,  0.290, 5,  24.180,  5.280, 10.200, 1 
 302452.53771, 3,  -0.900,  7.297,  4.659, 4,   0.380,  0.325,  1.072, 5,  23.820,  5.280, 10.260, 1 
 302452.59746, 3,   2.389,  6.311,  5.056, 4,  -0.603,  0.158,  1.938, 5,  23.460,  5.400, 10.200, 1 
 302452.65713, 3,   2.787,  5.693,  8.532, 4,  -1.449,  0.021,  1.580, 5,  23.100,  5.580, 10.200, 1 
 302452.71698, 3,  -0.278,  7.560,  8.168, 4,  -0.803,  0.923,  0.052, 5,  22.800,  5.700, 10.200, 1 
 302452.77689, 3,   0.311,  6.382,  6.502, 4,   0.142,  0.080, -0.201, 5,  22.440,  5.760, 10.140, 1 
 302452.83675, 3,   0.000,  6.459,  7.125, 4,   0.263, -0.093,  0.143, 5,  22.140,  5.880, 10.140, 1 
 302452.89688, 3,   0.187,  5.401,  8.839, 4,  -0.762,  0.219,  0.201, 5,  21.780,  6.000, 10.140, 1 
 302452.95673, 3,   0.417,  5.870,  8.264, 4,  -0.612,  0.052, -0.142, 5,  21.540,  6.120, 10.140, 1 
 302453.01641, 3,  -0.953,  6.114,  7.675, 4,   0.206,  0.175, -0.332, 5,  21.300,  6.180, 10.200, 1 
 302453.07611, 3,  -1.441,  8.279,  4.242, 4,   0.547,  0.252, -0.371, 5,  21.120,  6.360, 10.260, 1 
 302453.13599, 3,  -0.594,  4.472,  4.156, 4,  -0.490, -0.074, -0.250, 5,  21.000,  6.540, 10.320, 1 
 302453.19586, 3,  -0.268,  4.433,  4.323, 4,  -0.566, -0.084,  0.171, 5,  20.820,  6.720, 10.440, 1 
 302453.25572, 3,  -0.129,  5.348,  7.287, 4,  -0.106, -0.162,  0.424, 5,  20.760,  6.900, 10.560, 1 
 302453.31559, 3,  -0.383,  5.477,  9.768, 4,  -0.053, -0.204,  0.117, 5,  20.760,  7.140, 10.740, 1 
 302453.37545, 3,  -0.124,  5.516,  7.785, 4,   0.017, -0.038,  0.006, 5,  20.820,  7.260, 10.860, 1 
 302453.43551, 3,   0.330,  5.324,  8.642, 4,   0.032, -0.204,  0.146, 5,  21.000,  7.440, 11.040, 1 
 302453.49535, 3,  -0.029,  5.482,  7.876, 4,   0.078,  0.066,  0.079, 5,  21.300,  7.500, 11.280, 1 
 302453.55513, 3,   0.024,  5.219,  8.235, 4,  -0.050,  0.035, -0.052, 5,  21.540,  7.500, 11.520, 1 
 302453.61505, 3,  -0.158,  5.171,  8.743, 4,  -0.252, -0.031, -0.014, 5,  21.840,  7.440, 11.760, 1 
 302453.67494, 3,  -0.196,  5.094,  8.954, 4,  -0.088, -0.030, -0.132, 5,  22.140,  7.380, 11.940, 1 
 302453.73465, 3,   0.771,  4.089,  8.604, 4,   0.095, -0.405, -0.107, 5,  22.440,  7.380, 12.120, 1 
